"","date","day","time","type","block_number","street1","street2","lat","long","wday","severity","area"
"2638",2016-02-16,"Tuesday",17.1666666666667,"ALCOHOL OFFENSE",NA,"DERBY STREET","HILLEGASS AVE",37.861672,-122.255992,"weekday","1","E"
"2639",2015-12-03,"Thursday",18.1833333333333,"NARCOTICS",NA,"CALIFORNIA STREET","ALLSTON WAY",37.865034,-122.297939,"weekday","2","W"
"2640",2016-03-12,"Saturday",21.6666666666667,"ALCOHOL OFFENSE","2300","TELEGRAPH AVE",NA,37.868714,-122.259189,"weekend","1","E"
"2641",2016-02-26,"Friday",5.75,"BURGLARY RESIDENTIAL","1400","RUSSELL ST",NA,37.854565,-122.281466,"weekday","4","S"
"2642",2016-03-03,"Thursday",5.41666666666667,"VEHICLE STOLEN","700","BANCROFT WAY",NA,37.86287,-122.299385,"weekday","4","W"
"2643",2016-04-04,"Monday",22.5,"VANDALISM","800","HILLDALE AVE",NA,37.89651,-122.264319,"weekday","3","N"
"2644",2016-03-06,"Sunday",18.1166666666667,"ASSAULT/BATTERY FEL.",NA,"MCGEE AVENUE","RUSSELL ST",37.855588,-122.275029,"weekend","5","S"
"2645",2016-02-27,"Saturday",1.1,"THEFT MISD. (UNDER $950)","1800","UNIVERSITY AVE",NA,37.871246,-122.274991,"weekend","2","W"
"2646",2015-12-15,"Tuesday",12.0666666666667,"FRAUD/FORGERY","1600","UNIVERSITY AVE",NA,37.870652,-122.27958,"weekday","1","W"
"2647",2016-02-10,"Wednesday",12,"VEHICLE STOLEN","1","SPINNAKER LN",NA,37.870011,-122.3179,"weekday","4","W"
"2648",2016-02-19,"Friday",9.5,"BURGLARY RESIDENTIAL","1600","WOOLSEY ST",NA,37.850899,-122.276174,"weekday","4","S"
"2649",2016-04-05,"Tuesday",19.0833333333333,"BURGLARY AUTO","1600","HARMON ST",NA,37.849099,-122.275932,"weekday","3","S"
"2650",2015-12-31,"Thursday",9,"BURGLARY AUTO","1200","HASKELL ST",NA,37.850541,-122.286037,"weekday","3","S"
"2651",2016-02-16,"Tuesday",16,"ASSAULT/BATTERY MISD.","1900","RUSSELL ST",NA,37.856132,-122.271292,"weekday","4","S"
"2652",2015-12-08,"Tuesday",5.01666666666667,"THEFT FROM AUTO","1600","WALNUT ST",NA,37.878407,-122.267962,"weekday","4","N"
"2653",2015-12-12,"Saturday",21,"VEHICLE STOLEN","1400","RUSSELL ST",NA,37.854565,-122.281466,"weekend","4","S"
"2654",2016-04-11,"Monday",22.25,"ROBBERY","2100","WARD ST",NA,37.85948,-122.266689,"weekday","4","S"
"2655",2016-01-19,"Tuesday",5,"VANDALISM","900","HEINZ AVE",NA,37.853552,-122.291561,"weekday","3","W"
"2656",2016-01-25,"Monday",18,"BURGLARY AUTO",NA,"SIXTH STREET","CAMELIA ST",37.877623,-122.30078,"weekday","3","W"
"2657",2016-02-23,"Tuesday",16.8333333333333,"THEFT MISD. (UNDER $950)","1700","STUART ST",NA,37.857495,-122.275256,"weekday","2","S"
